Stimulus	StimulusIndex	BreakAfterToneOffset
"1kHz"	1	17
"15kHz"	2	18
"1kHz"	1	16
"15kHz"	2	16
"15kHz"	2	17
"1kHz"	1	17
"15kHz"	2	18
"15kHz"	2	17
"15kHz"	2	18
"1kHz"	1	16
"1kHz"	1	17
"15kHz"	2	16
"1kHz"	1	19
"15kHz"	2	18
"1kHz"	1	17
"15kHz"	2	17
"1kHz"	1	17
"15kHz"	2	16
"1kHz"	1	17
"1kHz"	1	18
"1kHz"	1	17
"15kHz"	2	16
"1kHz"	1	17
"15kHz"	2	17
"15kHz"	2	16
"1kHz"	1	16
"15kHz"	2	17
"15kHz"	2	18
"1kHz"	1	16
"15kHz"	2	17
"15kHz"	2	16
"1kHz"	1	16
"1kHz"	1	18
"1kHz"	1	17
"15kHz"	2	16
"15kHz"	2	17
"15kHz"	2	17
"1kHz"	1	16
"1kHz"	1	16
"1kHz"	1	16
